City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Albany,US,42.6001,-73.9662,75.02,34,1,1.99,clear sky
1,Mahebourg,MU,-20.4081,57.7,70.25,94,75,9.22,light rain
2,Okha,RU,53.5739,142.9478,43.16,93,100,11.07,overcast clouds
3,Katangli,RU,51.7102,143.2326,41.79,93,88,7.31,overcast clouds
4,Luderitz,NA,-26.6481,15.1594,60.69,69,0,11.77,clear sky
5,Pemangkat,ID,1.1667,108.9667,76.8,84,96,5.39,overcast clouds
6,Huaiyin,CN,33.5886,119.0192,73.31,90,99,4.38,overcast clouds
7,Kodiak,US,57.79,-152.4072,47.71,93,90,13.8,light rain
8,Hobart,AU,-42.8794,147.3294,54.01,96,90,1.01,overcast clouds
9,Vyshestebliyevskaya,RU,45.1961,37.0181,64.81,79,18,12.41,few clouds
10,Ponta Delgada,PT,37.7333,-25.6667,70.52,56,40,12.66,scattered clouds
11,Bredasdorp,ZA,-34.5322,20.0403,60.28,82,58,8.05,broken clouds
12,Bereda,ES,43.2686,-7.5406,60.15,100,100,7.61,light rain
13,Cabo San Lucas,MX,22.8909,-109.9124,100.81,31,1,3.44,clear sky
14,Chifeng,CN,42.2683,118.9636,61.54,33,0,9.95,clear sky
15,Saint-Pierre,RE,-21.3393,55.4781,71.24,75,0,8.05,clear sky
16,Kijang,KR,35.2442,129.2139,67.73,86,99,2.48,light rain
17,Znamenskoye,RU,57.1281,73.8282,61.29,95,95,2.91,overcast clouds
18,Hermanus,ZA,-34.4187,19.2345,60.8,84,72,8.48,broken clouds
19,Klaksvik,FO,62.2266,-6.589,49.12,84,44,6.24,scattered clouds
20,Mataura,NZ,-46.1927,168.8643,34.48,97,24,4.12,few clouds
21,Ushuaia,AR,-54.8,-68.3,37.06,75,0,2.3,clear sky
22,Cape Town,ZA,-33.9258,18.4232,60.1,90,75,4.61,broken clouds
23,Wilmington,US,34.2257,-77.9447,88.99,50,1,8.05,clear sky
24,Hithadhoo,MV,-0.6,73.0833,83.66,74,100,9.28,overcast clouds
25,Butaritari,KI,3.0707,172.7902,82.99,68,76,14.38,broken clouds
26,Ewa Beach,US,21.3156,-158.0072,77.09,83,90,4.0,light rain
27,Castro,BR,-24.7911,-50.0119,58.48,68,99,1.74,overcast clouds
28,Isangel,VU,-19.55,169.2667,74.48,88,29,4.72,scattered clouds
29,Dikson,RU,73.5069,80.5464,31.82,99,100,11.9,snow
