City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Parrita,CR,2021-06-14 19:54:29,9.5201,-84.3225,89.37,75,100,3.89
1,Avarua,CK,2021-06-14 19:54:30,-21.2078,-159.775,71.65,83,90,11.5
2,Port Elizabeth,ZA,2021-06-14 19:54:11,-33.918,25.5701,61.11,100,40,2.3
3,Punta Arenas,CL,2021-06-14 19:51:06,-53.15,-70.9167,41.11,56,20,12.66
4,Dikson,RU,2021-06-14 19:50:18,73.5069,80.5464,37.63,92,10,11.16
5,Rikitea,PF,2021-06-14 19:54:30,-23.1203,-134.9692,75.38,77,100,12.86
6,Cape Town,ZA,2021-06-14 19:50:08,-33.9258,18.4232,57.11,95,0,2.3
7,Barrow,US,2021-06-14 19:50:19,71.2906,-156.7887,33.82,93,90,19.57
8,El Dorado,US,2021-06-14 19:50:20,38.7666,-120.5177,83.3,44,31,11.5
9,Lavrentiya,RU,2021-06-14 19:50:20,65.5833,-171.0,35.62,99,100,6.98
10,Kapaa,US,2021-06-14 19:50:21,22.0752,-159.319,82.38,73,20,4.0
11,Hilo,US,2021-06-14 19:46:57,19.7297,-155.09,79.79,65,20,4.61
12,San Sebastian,ES,2021-06-14 19:50:21,43.3128,-1.975,73.24,81,0,1.14
13,Kaitangata,NZ,2021-06-14 19:50:21,-46.2817,169.8464,47.34,96,100,1.21
14,Puerto Ayora,EC,2021-06-14 19:50:22,-0.7393,-90.3518,82.36,80,82,8.01
15,Sitka,US,2021-06-14 19:50:22,57.0531,-135.33,60.69,72,75,8.05
16,Sur,OM,2021-06-14 19:50:23,22.5667,59.5289,90.66,54,0,5.32
17,Ushuaia,AR,2021-06-14 19:45:31,-54.8,-68.3,38.82,87,40,26.46
18,Lompoc,US,2021-06-14 19:50:23,34.6391,-120.4579,90.21,72,1,16.11
19,Mataura,NZ,2021-06-14 19:50:23,-46.1927,168.8643,46.47,99,100,0.65
20,Broken Hill,AU,2021-06-14 19:50:24,-31.95,141.4333,49.71,81,75,14.97
21,Kavieng,PG,2021-06-14 19:50:24,-2.5744,150.7967,81.82,77,10,11.81
22,Toamasina,MG,2021-06-14 19:50:25,-18.1667,49.3833,71.6,94,75,10.36
23,Bartica,GY,2021-06-14 19:50:25,6.4,-58.6167,86.32,89,82,3.76
24,Bathsheba,BB,2021-06-14 19:50:25,13.2167,-59.5167,84.81,58,40,26.46
25,Yulara,AU,2021-06-14 19:50:26,-25.2406,130.9889,40.84,75,0,4.61
26,Petropavlovsk-Kamchatskiy,RU,2021-06-14 19:50:26,53.0452,158.6483,39.79,100,90,2.24
27,Naze,JP,2021-06-14 19:50:26,28.3667,129.4833,74.39,87,68,7.34
28,Carnarvon,AU,2021-06-14 19:50:27,-24.8667,113.6333,55.47,71,0,10.36
29,Awjilah,LY,2021-06-14 19:50:27,29.1081,21.2869,77.92,37,0,14.92
30,Sao Filipe,CV,2021-06-14 19:50:27,14.8961,-24.4956,75.33,72,100,7.27
31,Georgetown,MY,2021-06-14 19:47:07,5.4112,100.3354,80.89,87,20,3.0
32,Faya,SA,2021-06-14 19:50:28,18.3851,42.4509,75.72,16,8,5.37
33,Hithadhoo,MV,2021-06-14 19:50:28,-0.6,73.0833,82.42,73,89,8.43
34,Angoram,PG,2021-06-14 19:50:29,-4.0625,144.0661,72.39,99,69,1.83
35,Laguna,US,2021-06-14 19:50:29,38.421,-121.4238,86.61,48,1,5.01
36,Shangrao,CN,2021-06-14 19:50:29,28.4532,117.9686,77.34,88,100,2.73
37,Nouadhibou,MR,2021-06-14 19:50:30,20.931,-17.0347,73.38,68,44,17.27
38,Bethel,US,2021-06-14 19:50:30,41.3712,-73.414,71.02,85,90,1.01
39,Comodoro Rivadavia,AR,2021-06-14 19:46:04,-45.8667,-67.5,48.06,49,0,13.8
40,Marawi,PH,2021-06-14 19:50:31,7.9986,124.2928,67.64,93,91,3.56
41,Grafton,US,2021-06-14 19:50:32,42.207,-71.6856,65.84,87,90,1.99
42,Imbituba,BR,2021-06-14 19:50:32,-28.24,-48.6703,69.69,82,0,11.61
43,Cabo San Lucas,MX,2021-06-14 19:50:33,22.8909,-109.9124,93.51,69,84,4.61
44,Outjo,NA,2021-06-14 19:50:33,-20.1167,16.15,56.84,28,5,4.54
45,Campoverde,PE,2021-06-14 19:50:33,-8.4753,-74.8058,85.69,42,35,0.43
